Source,Timestamp,TEAM_ID,MISSION_TIME,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW
cansat,2025-10-29T21:57:20.027Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,127,-93.45,1001.51,25.17,6.91,,,,,,-0.03,0.09,-0.02,0.34,0.22,0.11,,,,571.58,59.23,,,-153.05,-29.78,-99.71
cansat,2025-10-29T21:57:21.087Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,128,-93.54,1001.49,25.19,6.91,,,,,,-0.03,0.09,-0.02,2.24,1.01,-2.01,,,,571.58,59.23,,,-153.3,-29.41,-98.6
cansat,2025-10-29T21:57:22.103Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,129,-93.54,1001.49,25.19,6.91,,,,,,-0.03,0.09,-0.02,2.24,1.01,-2.01,,,,571.27,59.12,,,-153.3,-29.41,-98.6
cansat,2025-10-29T21:57:24.119Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,130,-93.54,1001.49,25.19,6.91,,,,,,-0.03,0.09,0.01,2.24,1.01,-2.01,,,,571.27,59.12,,,-153.3,-29.41,-98.6
cansat,2025-10-29T21:57:25.135Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,131,-93.54,1001.49,25.19,6.91,,,,,,-0.03,0.09,0.01,2.24,1.01,-2.01,,,,571.27,59.12,,,-153.3,-29.41,-98.6
cansat,2025-10-29T21:57:26.352Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,132,-93.54,1001.49,25.19,6.91,,,,,,-0.03,0.09,0.01,2.24,1.01,-2.01,,,,571.27,59.12,,,-153.3,-29.41,-98.6
cansat,2025-10-29T21:57:27.415Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,133,-92.59,1001.52,25.19,6.91,,,,,,0.66,-0.38,0.01,2.24,1.01,-2.01,,,,571.27,59.12,,,-132.46,-9.24,139.86
cansat,2025-10-29T21:57:28.431Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,134,-92.59,1001.52,25.19,6.91,,,,,,0.66,-0.38,0.01,2.24,1.01,-2.01,,,,571.58,59.23,,,-132.46,-9.24,139.86
cansat,2025-10-29T21:57:30.447Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,135,-92.59,1001.52,25.19,6.91,,,,,,0.66,-0.38,-0.15,2.24,1.01,-2.01,,,,571.58,59.23,,,-132.46,-9.24,139.86
cansat,2025-10-29T21:57:31.463Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,136,-92.59,1001.52,25.19,6.91,,,,,,0.66,-0.38,-0.15,2.24,1.01,-2.01,,,,571.58,59.23,,,-132.46,-9.24,139.86
